product_id,product_name,current_stock,unit_price,category,total_sold_quantity,final_stock,stock_status,total_sales_value
P001,Laptop,50,55000,Electronics,3,47,AVAILABLE,165000
P002,Mobile,120,20000,Electronics,9,111,AVAILABLE,180000
P003,Headphones,200,1500,Accessories,19,181,AVAILABLE,28500
P004,Monitor,80,12000,Electronics,5,75,AVAILABLE,60000
P005,Keyboard,150,1200,Accessories,12,138,AVAILABLE,14400
P006,Mouse,300,800,Accessories,35,265,AVAILABLE,28000
P007,Tablet,60,25000,Electronics,7,53,AVAILABLE,175000
P008,Speaker,90,3000,Accessories,13,77,AVAILABLE,39000
P009,Webcam,110,2500,Accessories,14,96,AVAILABLE,35000
P010,Printer,40,9000,Electronics,3,37,AVAILABLE,27000
P011,SSD,130,6000,Components,9,121,AVAILABLE,54000
P012,RAM,160,3500,Components,11,149,AVAILABLE,38500
P013,Router,70,4000,Networking,5,65,AVAILABLE,20000
P014,Switch,55,7000,Networking,4,51,AVAILABLE,28000
P015,Projector,25,45000,Electronics,1,24,AVAILABLE,45000
P016,Graphics Card,30,65000,Components,2,28,AVAILABLE,130000
P017,Power Bank,180,1500,Accessories,12,168,AVAILABLE,18000
P018,Smart Watch,95,8000,Electronics,6,89,AVAILABLE,48000
P019,Microphone,85,5000,Accessories,5,80,AVAILABLE,25000
P020,External HDD,75,7000,Components,3,72,AVAILABLE,21000
